AWS_ID,District,Mandal,Location,Circle,Latitude,Longitude,Total_Rainy_Days,Mean_Daily_Rain,Max_Daily_Rain,Mean_Intensity,Longest_Wet_Spell_days
10935,Sangareddy,Ramachandrapuram,BHEL Factory,Circle-22 (Ramachandrapuram& Patancheru),17.493918,78.283368,100,10.415,78.5,2.32688380022755,18
10976,Medchal-Malkajgiri,Malkajgiri,ESS Malkajgiri,Circle-28(Malkajgiri),17.455574,78.529592,86,10.744186046511627,59.5,2.3890981273248717,15
10995,Medchal-Malkajgiri,Balanagar,ESS Balanagar,Circle-24 (Kukatpally),17.470511,78.433494,88,11.164772727272727,85.0,2.4087011250781303,15
10998,Medchal-Malkajgiri,Quthbullapur,ESS Quthbullapur,Circle-25(Quthbullapur),17.500713,78.452162,66,15.25,88.25,2.8571580986353715,14
11189,Hyderabad,Shaikpet,Shaikpet ,Circle-18 (Jubilee Hills),17.397784,78.400165,98,13.716836734693878,108.25,3.3483051508149044,18
11191,Hyderabad,Maredpally,West Maredpally,Circle-29(Secunderabad),17.454047,78.511979,86,8.918604651162791,62.5,2.0176384505257627,16
11192,Hyderabad,Secunderabad,Mondamarket,Circle-30(Begumpet),17.43351,78.497828,89,14.275280898876405,135.5,2.967155605006729,15
11194,Hyderabad,Himayatnagar,Vittalvadi,Circle-16 (Amberpet),17.396992,78.489036,87,12.580459770114942,79.5,3.003891502813917,15
11195,Hyderabad,Khairatabad,Srinagarcolony,Circle-18 (Jubilee Hills),17.430539,78.441914,88,16.34659090909091,120.25,3.3123264756077258,17
11196,Hyderabad,Asifnagar,Asifnagar,Circle-12 (Mehdipatnam),17.395567,78.429012,89,9.77247191011236,68.75,2.631596861591078,8
11197,Hyderabad,Amberpet,Bathukamma kunta ESS,Circle-16 (Amberpet),17.395027,78.511148,86,12.587209302325581,81.75,2.9260215236959426,15
11198,Hyderabad,Bahadurpura,Chandulal Baradari (Opp. Zoo Park),Circle-10 (Falaknuma),17.350273,78.457083,97,13.29896907216495,96.25,3.0226339882912048,17
11199,Hyderabad,Golkonda,Golkonda,Circle-13 (Karvan),17.374816,78.395484,84,10.5625,73.25,2.775615495566914,17
11200,Hyderabad,Nampally,Nampally,Circle-14 (Goshamahal),17.385804,78.46898,93,10.978494623655914,102.0,2.645934673152415,17
11202,Medchal-Malkajgiri,Kukatpally,GHMC Office: Kukatpally,Circle-24 (Kukatpally),17.470353,78.420252,78,11.407051282051283,86.0,2.626102757536581,13
11203,Medchal-Malkajgiri,Kapra,Kapra (GHMC Office),Circle-1 (Kapra),17.469864,78.566657,77,16.5974025974026,156.75,3.7031906675575508,15
11204,Rangareddy,Saroornagar,L.B.Nagar (GHMC Office),Circle-4 (L B Nagar),17.367136,78.535215,94,11.59308510638298,105.0,2.6731701513616404,15
11206,Hyderabad,Charminar,Sardarmahal (zonal commissioner office),Circle-6 (Malakpet),17.360829,78.475945,96,13.307291666666666,112.5,3.0469457987036113,17
11513,Rangareddy,Rajendranagar,Rajendranagar (ARS),Circle-11 (Rajendranagar),17.324499,78.399328,93,10.82258064516129,89.25,2.1978276353276356,17
11780,Medchal-Malkajgiri,Quthbullapur,Shapur Nagar,Circle-26(Gajula ramaram),17.52169,78.447517,84,8.946428571428571,71.25,1.6458248514052083,12
11812,Medchal-Malkajgiri,Quthbullapur,ESS Jeedimetla,Circle-26(Gajula ramaram),17.522272,78.441542,99,11.373737373737374,76.25,2.3323384002361274,11
